filename,class_id,x_center,y_center,width,height
20220531_093900.jpg,0,0.485333,0.46825,0.569333,0.936
20220531_093922.jpg,0,0.361833,0.47475,0.477667,0.5645
20220531_093928.jpg,0,0.2445,0.464375,0.223667,0.40625
20220531_093928.jpg,0,0.588167,0.39875,0.494333,0.779
20220531_093933.jpg,0,0.2895,0.391375,0.505667,0.78125
20220531_094116.jpg,0,0.5805,0.447375,0.579,0.89425
20220531_094139.jpg,0,0.263167,0.38,0.519667,0.6855
20220531_094139.jpg,0,0.658167,0.69825,0.226333,0.3325
20220531_094209.jpg,0,0.445667,0.520125,0.534667,0.65525
20220531_094217.jpg,0,0.522167,0.482125,0.640333,0.77925
20220531_094218.jpg,0,0.264385,0.642361,0.23578,0.547619
20220531_094218.jpg,0,0.453869,0.545759,0.126653,0.166419
20220531_094231.jpg,0,0.384,0.468,0.505333,0.6135
20220531_094231.jpg,0,0.450667,0.782125,0.202667,0.20225
20220531_094231.jpg,0,0.240167,0.717,0.143,0.1135
20220531_094245.jpg,0,0.429167,0.499875,0.629,0.99575
20220531_094253.jpg,0,0.515833,0.4275,0.555667,0.849
20220531_094253.jpg,0,0.672833,0.858125,0.105667,0.25625
20220531_094256.jpg,0,0.4325,0.457125,0.494333,0.63525
20220531_094301.jpg,0,0.193287,0.678075,0.170966,0.211806
20220531_094313.jpg,0,0.456167,0.500375,0.508333,0.80725
20220531_094313.jpg,0,0.161167,0.59825,0.173667,0.278
20220531_094348.jpg,0,0.443667,0.455125,0.55,0.78125
20220531_094400.jpg,0,0.558167,0.496375,0.426333,0.99225
20220531_094406.jpg,0,0.559667,0.38375,0.31,0.426
20220531_094418.jpg,0,0.526333,0.488125,0.418,0.97575
20220531_094433.jpg,0,0.415833,0.401375,0.527667,0.77375
20220531_094504.jpg,0,0.4715,0.586875,0.497,0.81775
20220531_094518.jpg,0,0.677667,0.520125,0.465333,0.93025
20220531_094518.jpg,0,0.175,0.56025,0.248667,0.3855
20220531_094523.jpg,0,0.524333,0.49775,0.483333,0.946
20220531_094556.jpg,0,0.356167,0.4155,0.322333,0.498
20220531_094556.jpg,0,0.772167,0.681125,0.243,0.39575
20220531_094624.jpg,0,0.169974,0.583953,0.085317,0.079613
20220531_094624.jpg,0,0.317295,0.623388,0.071759,0.156002
20220531_094624.jpg,0,0.462632,0.61818,0.100529,0.195188
20220531_094703.jpg,0,0.470238,0.580357,0.115741,0.248016
20220531_094710.jpg,0,0.684028,0.495164,0.157077,0.255208
20220531_094713.jpg,0,0.517857,0.546999,0.133598,0.265625
20220531_094722.jpg,0,0.4915,0.512375,0.493,0.75425
20220531_094824.jpg,0,0.466,0.38725,0.369333,0.502
20220531_095031.jpg,0,0.054,0.562375,0.098667,0.15625
20220531_095031.jpg,0,0.334667,0.434625,0.248667,0.28025
20220531_095031.jpg,0,0.770167,0.56125,0.122333,0.152
20220531_095031.jpg,0,0.857667,0.5915,0.080667,0.127
20220531_095203.jpg,0,0.552167,0.4295,0.408333,0.603
20220531_095232.jpg,0,0.459667,0.42375,0.179333,0.279
20220531_095350.jpg,0,0.284226,0.56808,0.220569,0.291419
20220531_095350.jpg,0,0.501323,0.636781,0.30754,0.451637
20220531_095411.jpg,0,0.517857,0.644469,0.103175,0.121776
20220531_095415.jpg,0,0.673446,0.572669,0.092262,0.114583
